"Name","SMILES","Reference/DOI","Paper Title","Note"
"Tianeptine","CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O","https://doi.org/10.3389/fmed.2024.1425038","Drug repurposing in Rett and Rett-like syndromes: A promising yet underrated opportunity?","Atypical antidepressant modulating glutamate and serotonin; reviewed as a drug repurposing candidate for RTT and Rett-like syndromes."
"Allopregnanolone","CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C","https://doi.org/10.1152/ajpcell.00195.2013","Time-dependent modulation of GABAA-ergic synaptic transmission by allopregnanolone in locus coeruleus neurons of Mecp2-null mice","Endogenous neurosteroid and positive modulator of GABA-A receptors; time-dependently modulated GABAergic transmission in locus coeruleus neurons of Mecp2-null mice."
"Clonidine","C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl","https://doi.org/10.1002/phar.2238","Management of self-injurious behaviors in children with neurodevelopmental disorders: A pharmacotherapy overview","Central alpha-2 adrenergic agonist; reviewed for management of self-injurious behaviors and hyperactivity in neurodevelopmental disorders including RTT."
"Desipramine","CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31","https://doi.org/10.1002/acn3.468","Effect of desipramine on patients with breathing disorders in Rett syndrome","Tricyclic antidepressant (norepinephrine reuptake inhibitor); demonstrated improvement of breathing disorders in RTT patients in a clinical trial specifically targeting apneas and hyperpneas."
"Donepezil","COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC","https://doi.org/10.1523/ENEURO.0134-19.2019","Mecp2 deletion from cholinergic neurons selectively impairs recognition memory and disrupts cholinergic modulation of the perirhinal cortex","Acetylcholinesterase inhibitor; Mecp2 deletion in cholinergic neurons selectively impaired recognition memory and cholinergic modulation; Donepezil proposed to correct this deficit."
"Lamotrigine","C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N","https://doi.org/10.1016/s0387-7604(01)00191-7","Lamotrigine in two cases of Rett syndrome","Membrane-stabilizing antiepileptic drug; reported in two RTT clinical cases with seizure improvement; blocks sodium channels and modulates glutamate release."
"Trazodone","C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl","https://doi.org/10.3389/fmed.2024.1425038","Drug repurposing in Rett and Rett-like syndromes: A promising yet underrated opportunity?","Serotonin reuptake inhibitor and 5-HT2 antagonist antidepressant; reviewed as a repurposing candidate for RTT in the context of mood and sleep symptoms."
"Mirtazapine","CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4","https://doi.org/10.1016/j.expneurol.2022.114056","Mirtazapine treatment in a young female mouse model of Rett syndrome identifies time windows for the rescue of early phenotypes","Noradrenergic and serotonergic antidepressant; identified critical time windows for rescue of early phenotypes in a young RTT mouse model; effective before full symptom onset."
"Glutamic acid","C(CC(=O)O)C(C(=O)O)N","https://doi.org/10.1073/pnas.2320383121","RIPK1 activation in Mecp2-deficient microglia promotes inflammation and glutamate release in RTT","Excitatory neurotransmitter; RIPK1 activation in Mecp2-deficient microglia was shown to promote inflammation and excessive glutamate release in RTT pointing to the glutamatergic system as a therapeutic target."
"Trofinetide","CC1(CCCN1C(=O)CN)C(=O)NC(CCC(=O)O)C(=O)O","https://doi.org/10.1038/s41591-023-02398-1","Trofinetide for the treatment of Rett syndrome: A randomized phase 3 study","Synthetic IGF-1 analogue; FDA-approved in 2023 (Daybue) for RTT in patients aged 2 and older; demonstrated improvement in behavioral symptoms and global function in a phase 3 clinical trial."
"Lovastatin","CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C","https://doi.org/10.7554/eLife.22409","Lovastatin fails to improve motor performance and survival in methyl-CpG-binding protein2-null mice","HMG-CoA reductase inhibitor (statin); failed to improve motor performance and survival in Mecp2-null mice despite proposed neuroprotective mechanisms."
"Citalopram","CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F","https://doi.org/10.1016/j.neuropharm.2020.108221","Fluoxetine rescues rotarod motor deficits in Mecp2 heterozygous mouse model of Rett syndrome via brain serotonin","SSRI reviewed in the context of serotonergic modulation in RTT; both citalopram and fluoxetine act on the serotonergic system which is disrupted in heterozygous Mecp2 mouse models."
"Blarcamesine","CN(C)CC1CCOC1(C2=CC=CC=C2)C3=CC=CC=C3","https://doi.org/10.1111/bcp.15843","The new big is small: Leveraging knowledge from small trials for rare disease drug development: Blarcamesine for Rett syndrome","Sigma-1 receptor agonist; evaluated in a clinical trial for RTT; a methodological study addressed how to leverage data from small trials for rare disease drug development."
"Lysine","C(CCN)CC(C(=O)O)N","https://doi.org/10.2217/epi.10.12","Role of H3K4 demethylases in complex neurodevelopmental diseases","Essential amino acid with a role in post-translational histone modifications (H3K4 methylation); reviewed in the epigenetic context of complex neurodevelopmental diseases including RTT."
"Vigabatrin","C=CC(CCC(=O)O)N","https://doi.org/10.1111/epi.17630","Epileptic spasms in CDKL5 deficiency disorder: Delayed treatment and poor response to first-line therapies","Irreversible GABA-transaminase inhibitor antiepileptic; documented in epileptic spasms in CDKL5 deficiency disorder (RTT-related); variable response to first-line therapies reported."
"Cannabidiol","CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O","https://doi.org/10.1007/978-3-030-57369-0_7","Cannabidiol therapy for refractory epilepsy and seizure disorders","Non-psychoactive cannabinoid with antiepileptic activity; reviewed for refractory epilepsy and seizure disorders; proposed as an alternative for RTT patients with treatment-resistant epilepsy."
"Gentamicin","CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC","https://doi.org/10.3390/ijms241411665","Evaluation of novel enhancer compounds in gentamicin-mediated readthrough of nonsense mutations in Rett syndrome","Aminoglycoside with nonsense mutation readthrough capacity; evaluated as an enhancer of functional MeCP2 protein production in MECP2 mutations that generate premature stop codons."
"Naltrexone","C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O","https://doi.org/10.1002/ana.410350415","Rett syndrome: Controlled study of an oral opiate antagonist, naltrexone","Opioid receptor antagonist; evaluated in a controlled trial in RTT; showed modest effects on breathing and behavior that were not sustained over time."
"7,8-Dihydroxyflavone","C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O","https://doi.org/10.3389/fnins.2019.00680","From cannabinoids and neurosteroids to statins and the ketogenic diet: New therapeutic avenues in Rett syndrome?","TrkB receptor agonist (BDNF receptor); reviewed as a neuroprotective candidate in RTT for its ability to mimic BDNF signaling without requiring the protein itself."
"Memantine","CC12CC3CC(C1)(CC(C3)(C2)N)C","https://doi.org/10.3389/fnins.2013.00245","Is memantine a potential therapeutic for Rett syndrome?","Non-competitive NMDA receptor antagonist; proposed as therapy for RTT given the excitatory/inhibitory imbalance; systematic review of preclinical evidence."
"LM22A-4","C1=C(C=C(C=C1C(=O)NCCO)C(=O)NCCO)C(=O)NCCO","https://doi.org/10.1101/2023.11.09.566435","A small-molecule TrkB ligand improves dendritic spine phenotypes and atypical behaviors in female Rett syndrome mice","Small TrkB ligand (BDNF receptor); improved dendritic spine morphology and atypical behaviors in female RTT mice; promising preclinical results from a preprint study."
"Cannabivarin","CCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O","https://doi.org/10.3389/fnins.2019.00680","From cannabinoids and neurosteroids to statins and the ketogenic diet: New therapeutic avenues in Rett syndrome?","Phytocannabinoid analogue of cannabidiol with a shorter side chain; reviewed among cannabinoids and neurosteroids as possible therapeutic strategies in RTT."
"Benserazide","O=C(C(N)CO)NNCC1=C(O)C(O)=C(O)C=C1","https://doi.org/10.1016/j.nlm.2018.11.007","Altered trajectories of neurodevelopment and behavior in mouse models of Rett syndrome","Peripheral dopa-decarboxylase inhibitor; combined with levodopa to increase central dopamine availability; evaluated in a RTT mouse model improving neurodevelopmental trajectories and behavior."
"Dextromethorphan","CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC","https://doi.org/10.1212/WNL.0000000000004515","Randomized open-label trial of dextromethorphan in Rett syndrome","NMDA antagonist and sigma-1 agonist; evaluated in a randomized open-label clinical trial in RTT; showed trends of improvement in some behavioral symptoms without strong statistical significance."
"Alanine","CC(C(=O)O)N","https://doi.org/10.1007/s00335-019-09793-5","Treating Rett syndrome: From mouse models to human therapies","Non-essential amino acid; reviewed within metabolic and nutritional strategies in RTT; role in the glucose-alanine cycle relevant to neuronal energy metabolism."
"Risperidone","CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F","https://doi.org/10.3390/molecules26113348","Modulation of serotonin receptors in neurodevelopmental disorders: Focus on 5-HT7 receptor","Atypical antipsychotic D2 and 5-HT2 antagonist; reviewed for modulation of serotonin receptors (especially 5-HT7) in neurodevelopmental disorders such as RTT; used for behavioral symptom management."
"Folic acid","C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N","https://doi.org/10.1007/s10545-010-9159-6","Cerebral folate deficiency","Vitamin B9; reviewed in the context of cerebral folate deficiency that can coexist with RTT; involved in neurotransmitter synthesis and DNA methylation."
"Vatiquinone","CC1=C(C(=O)C(=C(C1=O)C)CCC(C)(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C","https://doi.org/10.2147/DDDT.S383133","Profile of Trofinetide in the treatment of Rett syndrome: Design, development and potential place in therapy","Vitamin E analogue with mitochondrial antioxidant activity (15-LOX inhibitor); reviewed in the context of neuroprotection strategies in RTT alongside trofinetide."
"Cysteamine","C(CS)N","https://doi.org/10.1051/medsci/2012281016","Unexpected link between Huntington disease and Rett syndrome","Aminothiol with neuroprotective properties; identified through an unexpected link between Huntington disease and RTT; acts by elevating BDNF levels and reducing protein aggregate accumulation."
"Picrotoxinin","CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C","https://doi.org/10.1038/npp.2014.43","GABAA receptor antagonism ameliorates behavioral and synaptic impairments associated with MeCP2 overexpression","Active component of picrotoxin; GABA-A receptor antagonist (chloride channel blocker); GABA-A antagonism ameliorated behavioral and synaptic impairments in mice overexpressing MeCP2."
"Sarizotan","C1CC2=CC=CC=C2OC1CNCC3=CC(=CN=C3)C4=CC=C(C=C4)F","https://doi.org/10.1016/j.yjmcc.2019.07.012","Potent hERG channel inhibition by sarizotan, an investigative treatment for Rett syndrome","5-HT1A agonist and partial D2 agonist; investigated for RTT to manage apneas; identified as a potent hERG channel inhibitor representing an important cardiac safety signal."
"Bromocriptine","CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O","https://doi.org/10.1016/s0387-7604(12)80329-9","Bromocriptine in the Rett syndrome","D2 dopaminergic agonist; one of the earliest drugs evaluated in RTT; early clinical study explored its effect on the dopaminergic dysfunction observed in the syndrome."
"Picrotin","CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O","https://doi.org/10.1038/npp.2014.43","GABAA receptor antagonism ameliorates behavioral and synaptic impairments associated with MeCP2 overexpression","Inactive component of picrotoxin with a structure analogous to picrotoxinin; included as a structural reference; the study jointly evaluated GABA-A antagonism in the context of MeCP2 overexpression."
